"Interval start","TCP Errors"
0,27
1,11
2,0
3,32
4,0
5,1
6,0
7,0
8,0
9,1
10,2
11,0
12,0
13,0
14,10
15,5
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,3
26,0
27,4
28,0
29,0
30,0
31,2
32,0
33,10
34,0
35,0
36,0
37,2
38,0
39,1
40,0
41,0
42,14
43,0
44,0
45,0
46,3
47,0
48,0
49,2
50,0
51,0
52,12
53,0
54,9
55,0
56,0
57,0
58,2
59,0
60,3
61,8
